"filename", "language", "C++", "CMake", "Markdown", "YAML", "JavaScript", "JSON", "MS SQL", "XML", "Swift", "Dart", "comment", "blank", "total"
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\admin_chat_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 425, 26, 76, 527
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\audio_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1249, 128, 190, 1567
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\cart_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 261, 18, 41, 320
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\gemini_api_client.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 2, 1, -6
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\gemini_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1943, -327, -389, -2659
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\global_config_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 309, 16, 36, 361
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\mcp_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 4, 12, 99
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\password_reset_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 5, 15, 105
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\pedidos\create_order_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 4, -4, -2
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\pedidos\popular_dishes_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -58, -5, -1, -64
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\pedidos\recommendations_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 7, 20, 166
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\soft_delete_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 23, 35, 260
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\user_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 8, 29
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\usuarios\register_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 1, 8, 78
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\AdminChatScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 615, 30, 50, 695
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\AdminHomeScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\DeletedItemsScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 719, 31, 46, 796
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\PopularDishesScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -53, -27, -5, -85
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\ReportsScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 421, 21, 38, 480
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\Users\AdminUsersScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 19, 31, 305
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\Users\add_user_modal.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 6, 11, 95
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Auth_Screens\auth_modals.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 297, 11, 33, 341
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Auth_Screens\forget_password(WIP).dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, -4, -16
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Client_Screens\CartScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 214, 31, 50, 295
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Client_Screens\ClientHomeScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -47, -2, -3, -52
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Shared\shared_active_orders_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Shared\shared_chat_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 270, -37, -14, 219
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Shared\shared_menu_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 641, 51, 62, 754
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Shared\shared_order_history_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Shared\shared_profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -145, -9, -15, -169
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\audio_message_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 277, 7, 28, 312
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\audio_recorder_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 548, 30, 75, 653
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\cart_item_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 37
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\chat_config_modal_content.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 651, 11, 34, 696
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\chat_message_bubble.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 232, 7, 15, 254
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\custom_bottom_navigation_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 6, 10, 63
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\custom_modal.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 4, 4, 107
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\custom_scaffold.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -50, -1, -5, -56
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\menu_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -622, -49, -57, -728
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\recommendations_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 479, 19, 34, 532
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\routes.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 2, 7
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\welcome.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 2, 66
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\models\cart_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 3, 2, 30
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\models\chat_message.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 2, 2, 35
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\models\user.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 3, 4, 29
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\services\user_preferences_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 2, 6, 34
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\linux\flutter\generated_plugin_registrant.cc", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\linux\flutter\generated_plugins.cmake", "CMake", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\pubspec.yaml", "YAML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 5
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\login_register.js", "JavaScript", 0, 0, 0, 0, 441, 0, 0, 0, 0, 0, 28, 72, 541
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\menu.js", "JavaScript", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 8, 17, 123
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\migrations\README.md", "Markdown", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 12, 53
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\migrations\complete_database_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 84, 24, 191
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\migrations\migration_soft_delete.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 31, 20, 104
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\migrations\remove_price_duplication.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 44, 27, 189
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\migrations\update_existing_database.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 86, 39, 276
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\package-lock.json", "JSON", 0, 0, 0, 0, 0, 2215, 0, 0, 0, 0, 0, 1, 2216
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\package.json", "JSON", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 38
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\pedidos.js", "JavaScript", 0, 0, 0, 0, 504, 0, 0, 0, 0, 0, 32, 55, 591
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\servidor.js", "JavaScript", 0, 0, 0, 0, 886, 0, 0, 0, 0, 0, -6, 74, 954
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\flutter\generated_plugins.cmake", "CMake", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"Total", "-", 14, 4, 4533, 4, 1929, 2253, 405, 3, 6, 5966, 384, 2061, 17562
